price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
3800,2011,nissan,,,gas,155000,rebuilt,automatic,,,
2500,1987,,fair,4 cylinders,gas,125000,clean,manual,fwd,coupe,silver
2975,2006,,,6 cylinders,gas,217353,clean,automatic,rwd,SUV,white
7980,2013,bmw,,4 cylinders,gas,156295,,manual,rwd,SUV,white
7800,2005,honda,excellent,4 cylinders,gas,155000,clean,manual,,,
9000,2008,mazda,excellent,4 cylinders,gas,56700,clean,automatic,rwd,convertible,white
5980,2005,cadillac,,8 cylinders,gas,129448,,automatic,rwd,sedan,white
13500,2000,chevrolet,like new,8 cylinders,gas,92000,clean,manual,,hatchback,black
19950,1955,chevrolet,good,8 cylinders,gas,96867,clean,automatic,rwd,sedan,green
5980,2005,acura,,6 cylinders,gas,179721,,automatic,fwd,sedan,silver
2675,1996,toyota,,4 cylinders,gas,164719,clean,automatic,fwd,sedan,green
5980,2006,nissan,,6 cylinders,gas,178388,,automatic,fwd,SUV,white
34995,2018,ram,,,diesel,211000,clean,automatic,4wd,,
6980,2011,kia,,6 cylinders,gas,182321,,other,rwd,SUV,
31990,2017,jeep,good,6 cylinders,gas,891,clean,other,4wd,other,white
6980,2008,toyota,,6 cylinders,gas,158888,,automatic,fwd,sedan,silver
11500,2013,honda,good,,gas,92000,clean,automatic,,van,silver
987654321,1960,chevrolet,,,gas,999999,clean,manual,,,
2600,2000,buick,,6 cylinders,gas,212061,clean,automatic,fwd,sedan,blue
4980,2007,ford,,6 cylinders,gas,178095,,automatic,4wd,sedan,white
26995,2015,ford,,,diesel,247000,clean,automatic,4wd,,
27990,2014,toyota,good,,other,17805,clean,other,,pickup,red
32990,2017,jeep,good,6 cylinders,gas,30041,clean,other,4wd,other,silver
34995,2018,ram,,,gas,104000,clean,automatic,rwd,,
5980,2010,gmc,,4 cylinders,gas,208359,,manual,rwd,SUV,red
4500,2014,ford,,,gas,250000,clean,automatic,,,
5480,2013,chevrolet,,4 cylinders,gas,182711,,automatic,fwd,SUV,grey
16990,2016,kia,good,,gas,17631,clean,other,fwd,coupe,
37590,2019,ford,good,6 cylinders,gas,8663,clean,other,,pickup,
3975,2010,chevrolet,,4 cylinders,gas,162455,clean,automatic,fwd,sedan,silver
6480,2008,buick,,6 cylinders,gas,183858,,automatic,rwd,SUV,
